State,Cases,Range
Alabama,16,1 to 2
Alaska,1,1 to 2
Arizona,50,1 to 2
Arkansas,4,1 to 2
California,799,1 to 2
Colorado,53,1 to 2
Connecticut,33,1 to 2
Delaware,4,1 to 2
District of Columbia,218,1 to 2
Florida,373,1 to 2
Georgia,351,1 to 2
Hawaii,10,1 to 2
Idaho,4,1 to 2
Illinois,419,1 to 2
Indiana,49,1 to 2
Iowa,10,1 to 2
Kansas,1,1 to 2
Kentucky,8,1 to 2
Louisiana,38,1 to 2
Maine,1,1 to 2
Maryland,117,1 to 2
Massachusetts,116,1 to 2
Michigan,28,1 to 2
Minnesota,33,1 to 2
Mississippi,3,1 to 2
Missouri,9,1 to 2
Nebraska,10,1 to 2
Nevada,14,1 to 2
New Hampshire,9,1 to 2
New Jersey,118,1 to 2
New Mexico,7,1 to 2
New York,1345,1 to 2
North Carolina,53,1 to 2
North Dakota,1,1 to 2
Ohio,23,1 to 2
Oklahoma,9,1 to 2
Oregon,58,1 to 2
Pennsylvania,125,1 to 2
Puerto Rico,14,1 to 2
Rhode Island,19,1 to 2
South Carolina,16,1 to 2
South Dakota,1,1 to 2
Tennessee,26,1 to 2
Texas,351,1 to 2
Utah,27,1 to 2
Virginia,76,1 to 2
Washington,120,1 to 2
West Virginia,3,1 to 2
Wisconsin,13,1 to 2
