Location,Cases,Case Range,AsOf
Alabama,30,11 to 50,Data as of 12 Aug 2022 2:00 PM EDT
Alaska,2,1 to 10,Data as of 12 Aug 2022 2:00 PM EDT
Arizona,170,101 to 500,Data as of 12 Aug 2022 2:00 PM EDT
Arkansas,15,11 to 50,Data as of 12 Aug 2022 2:00 PM EDT
California,1945,>500,Data as of 12 Aug 2022 2:00 PM EDT
Colorado,111,101 to 500,Data as of 12 Aug 2022 2:00 PM EDT
Connecticut,59,51 to 100,Data as of 12 Aug 2022 2:00 PM EDT
Delaware,8,1 to 10,Data as of 12 Aug 2022 2:00 PM EDT
District of Columbia,328,101 to 500,Data as of 12 Aug 2022 2:00 PM EDT
Florida,1085,>500,Data as of 12 Aug 2022 2:00 PM EDT
Georgia,851,>500,Data as of 12 Aug 2022 2:00 PM EDT
Hawaii,12,11 to 50,Data as of 12 Aug 2022 2:00 PM EDT
Idaho,9,1 to 10,Data as of 12 Aug 2022 2:00 PM EDT
Illinois,771,>500,Data as of 12 Aug 2022 2:00 PM EDT
Indiana,78,51 to 100,Data as of 12 Aug 2022 2:00 PM EDT
Iowa,15,11 to 50,Data as of 12 Aug 2022 2:00 PM EDT
Kansas,3,1 to 10,Data as of 12 Aug 2022 2:00 PM EDT
Kentucky,11,11 to 50,Data as of 12 Aug 2022 2:00 PM EDT
Louisiana,103,101 to 500,Data as of 12 Aug 2022 2:00 PM EDT
Maine,3,1 to 10,Data as of 12 Aug 2022 2:00 PM EDT
Maryland,275,101 to 500,Data as of 12 Aug 2022 2:00 PM EDT
Massachusetts,202,101 to 500,Data as of 12 Aug 2022 2:00 PM EDT
Michigan,92,51 to 100,Data as of 12 Aug 2022 2:00 PM EDT
Minnesota,66,51 to 100,Data as of 12 Aug 2022 2:00 PM EDT
Mississippi,11,11 to 50,Data as of 12 Aug 2022 2:00 PM EDT
Missouri,20,11 to 50,Data as of 12 Aug 2022 2:00 PM EDT
Montana,2,1 to 10,Data as of 12 Aug 2022 2:00 PM EDT
Nebraska,15,11 to 50,Data as of 12 Aug 2022 2:00 PM EDT
Nevada,74,51 to 100,Data as of 12 Aug 2022 2:00 PM EDT
New Hampshire,15,11 to 50,Data as of 12 Aug 2022 2:00 PM EDT
New Jersey,293,101 to 500,Data as of 12 Aug 2022 2:00 PM EDT
New Mexico,16,11 to 50,Data as of 12 Aug 2022 2:00 PM EDT
New York,2295,>500,Data as of 12 Aug 2022 2:00 PM EDT
Non-US Resident,3,1 to 10,Data as of 12 Aug 2022 2:00 PM EDT
North Carolina,138,101 to 500,Data as of 12 Aug 2022 2:00 PM EDT
North Dakota,2,1 to 10,Data as of 12 Aug 2022 2:00 PM EDT
Ohio,89,51 to 100,Data as of 12 Aug 2022 2:00 PM EDT
Oklahoma,12,11 to 50,Data as of 12 Aug 2022 2:00 PM EDT
Oregon,95,51 to 100,Data as of 12 Aug 2022 2:00 PM EDT
Pennsylvania,298,101 to 500,Data as of 12 Aug 2022 2:00 PM EDT
Puerto Rico,48,11 to 50,Data as of 12 Aug 2022 2:00 PM EDT
Rhode Island,31,11 to 50,Data as of 12 Aug 2022 2:00 PM EDT
South Carolina,60,51 to 100,Data as of 12 Aug 2022 2:00 PM EDT
South Dakota,2,1 to 10,Data as of 12 Aug 2022 2:00 PM EDT
Tennessee,67,51 to 100,Data as of 12 Aug 2022 2:00 PM EDT
Texas,815,>500,Data as of 12 Aug 2022 2:00 PM EDT
Utah,69,51 to 100,Data as of 12 Aug 2022 2:00 PM EDT
Vermont,2,1 to 10,Data as of 12 Aug 2022 2:00 PM EDT
Virginia,175,101 to 500,Data as of 12 Aug 2022 2:00 PM EDT
Washington,251,101 to 500,Data as of 12 Aug 2022 2:00 PM EDT
West Virginia,4,1 to 10,Data as of 12 Aug 2022 2:00 PM EDT
Wisconsin,31,11 to 50,Data as of 12 Aug 2022 2:00 PM EDT
Wyoming,0,0,Data as of 12 Aug 2022 2:00 PM EDT
Total,11177,,Data as of 12 Aug 2022 2:00 PM EDT
